PLAYER,POS,AGE,TEAM,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,SEASON,index
Brook Lopez,C,21,NJN,82,3027,20.1,.570,.002,.451,9.9,17.5,13.5,11.8,1.0,3.4,13.1,23.6,,5.5,2.4,7.9,.125,,1.6,-0.5,1.2,2.5,2009-10,BrookLopez2009-10
EduardoNÃ¡jera,PF,33,NJN,13,204,7.0,.420,.321,.226,6.5,15.4,10.7,12.0,2.3,0.7,17.1,15.8,,-0.2,0.2,-0.1,-0.017,,-5.5,0.5,-5.0,-0.2,2009-10,EduardoNÃ¡jera2009-10
Chris Quinn,PG,26,NJN,25,223,9.3,.477,.571,.107,0.5,8.1,4.1,20.9,2.1,0.3,14.6,14.1,,0.0,0.1,0.1,.025,,-2.6,0.1,-2.5,0.0,2009-10,ChrisQuinn2009-10
Bobby Simmons,PF,29,NJN,23,395,8.0,.485,.538,.171,3.1,15.9,9.2,6.3,2.0,0.6,13.1,16.8,,-0.2,0.3,0.1,.014,,-3.6,0.0,-3.6,-0.2,2009-10,BobbySimmons2009-10
Sean Williams,PF,23,NJN,20,227,7.0,.453,.020,.388,10.2,13.3,11.7,0.7,1.9,6.2,25.9,15.6,,-0.4,0.3,-0.2,-0.036,,-7.8,0.6,-7.2,-0.3,2009-10,SeanWilliams2009-10
Terrence Williams,SF,22,NJN,78,1764,11.5,.459,.154,.221,2.9,20.6,11.4,22.4,1.3,0.4,14.8,21.8,,-1.5,1.3,-0.3,-0.007,,-2.0,-0.8,-2.8,-0.4,2009-10,TerrenceWilliams2009-10
Ray Allen,SG,34,BOS,80,2819,15.2,.601,.410,.260,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,,5.1,2.9,7.9,.135,,1.5,-0.3,1.2,2.3,2009-10,RayAllen2009-10
Tony Allen,SG,28,BOS,54,889,14.2,.540,.020,.470,7.4,12.5,10.0,13.0,3.5,1.7,17.8,19.6,,0.2,1.6,1.9,.100,,-1.8,2.2,0.4,0.5,2009-10,TonyAllen2009-10
Marquis Daniels,SF,29,BOS,51,937,9.6,.526,.112,.225,3.6,8.7,6.2,11.1,1.5,0.5,13.3,15.8,,0.2,1.0,1.3,.064,,-2.9,0.2,-2.7,-0.2,2009-10,MarquisDaniels2009-10
Glen Davis,PF,24,BOS,54,933,11.5,.500,.014,.495,13.7,13.3,13.5,5.9,1.2,1.2,13.5,19.7,,0.5,1.2,1.6,.084,,-3.2,-1.3,-4.5,-0.6,2009-10,GlenDavis2009-10
Michael Finley,SF,36,BOS,21,314,12.1,.608,.471,.069,0.4,12.2,6.4,12.2,0.7,0.5,8.2,14.6,,0.4,0.3,0.8,.115,,0.8,-0.5,0.3,0.2,2009-10,MichaelFinley2009-10
Kevin Garnett,PF,33,BOS,69,2060,19.4,.569,.006,.286,4.8,24.8,15.1,15.7,1.7,2.2,10.4,22.1,,3.6,3.8,7.3,.171,,1.5,1.9,3.5,2.9,2009-10,KevinGarnett2009-10
J.R. Giddens,SF,24,BOS,21,99,7.3,.457,.095,.571,5.1,19.3,12.4,8.9,2.1,0.8,21.0,15.8,,-0.1,0.2,0.0,.015,,-5.4,0.9,-4.5,-0.1,2009-10,J.R.Giddens2009-10
Eddie House,PG,31,BOS,50,846,11.9,.527,.519,.124,1.0,8.7,5.0,9.2,1.7,0.7,7.4,20.3,,0.4,1.0,1.4,.081,,-0.4,0.0,-0.4,0.3,2009-10,EddieHouse2009-10
Lester Hudson,PG,25,BOS,16,70,8.7,.533,.278,.333,5.4,8.5,7.0,17.1,2.2,2.3,30.4,19.9,,-0.1,0.1,0.0,.003,,-3.7,0.4,-3.3,0.0,2009-10,LesterHudson2009-10
Oliver Lafayette,SG,25,BOS,1,22,12.8,.583,.333,.000,5.7,16.3,11.1,14.4,0.0,0.0,14.3,14.9,,0.0,0.0,0.0,.098,,1.4,-3.2,-1.9,0.0,2009-10,OliverLafayette2009-10
Marcus Landry,SF,24,BOS,1,3,-26.8,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,,0.0,0.0,0.0,-0.738,,-21.4,-13.3,-34.7,0.0,2009-10,MarcusLandry2009-10
Kendrick Perkins,C,25,BOS,78,2154,15.0,.613,.006,.536,9.1,24.4,16.9,6.0,0.6,4.8,20.4,17.6,,1.4,3.8,5.2,.117,,-1.7,1.0,-0.7,0.7,2009-10,KendrickPerkins2009-10
Paul Pierce,SF,32,BOS,71,2411,18.2,.613,.303,.499,2.0,13.4,7.9,15.1,1.8,1.0,13.6,23.8,,5.0,3.3,8.3,.165,,2.3,0.7,3.0,3.0,2009-10,PaulPierce2009-10
Nate Robinson,PG,25,BOS,26,382,13.9,.522,.554,.083,1.7,10.3,6.1,22.1,3.0,0.0,10.9,22.4,,0.2,0.6,0.8,.103,,-0.5,0.6,0.2,0.2,2009-10,NateRobinson2009-10
Rajon Rondo,PG,23,BOS,81,2963,19.1,.540,.088,.312,4.3,10.5,7.5,43.7,3.3,0.3,19.3,20.2,,4.9,4.7,9.6,.156,,2.2,1.4,3.6,4.2,2009-10,RajonRondo2009-10
Brian Scalabrine,PF,31,BOS,52,472,3.6,.445,.576,.071,2.4,9.9,6.2,8.1,1.0,0.7,16.2,10.4,,-0.3,0.5,0.2,.019,,-4.4,0.1,-4.3,-0.3,2009-10,BrianScalabrine2009-10
Henry Walker,SF,22,BOS,8,29,7.6,.581,.000,.333,0.0,20.6,10.6,15.6,0.0,0.0,22.5,14.4,,0.0,0.0,0.0,.062,,-5.2,0.1,-5.0,0.0,2009-10,HenryWalker2009-10
Rasheed Wallace,C,35,BOS,79,1780,13.1,.504,.446,.192,3.0,19.0,11.2,7.3,2.4,3.1,8.2,20.2,,0.2,3.4,3.6,.096,,-1.6,1.6,0.0,0.9,2009-10,RasheedWallace2009-10
Shelden Williams,PF,26,BOS,54,597,14.1,.612,.008,.810,9.9,19.8,15.0,5.3,1.1,2.8,15.5,15.3,,1.1,0.9,2.0,.162,,-2.0,0.6,-1.4,0.1,2009-10,SheldenWilliams2009-10
Alexis Ajinça,C,21,CHA,6,30,6.3,.479,.000,.100,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,,-0.1,0.0,0.0,-0.013,,-6.3,1.0,-5.3,0.0,2009-10,AlexisAjinça2009-10
D.J. Augustin,PG,22,CHA,80,1472,11.2,.516,.409,.301,0.9,6.9,4.0,21.7,1.6,0.3,13.1,17.9,,1.1,1.7,2.8,.092,,-1.5,0.3,-1.1,0.3,2009-10,D.J.Augustin2009-10
Raja Bell,SG,33,CHA,5,157,12.8,.533,.436,.055,3.9,12.1,8.1,11.3,1.4,1.0,8.2,18.2,,0.2,0.2,0.4,.113,,0.5,2.0,2.5,0.2,2009-10,RajaBell2009-10
Derrick Brown,SF,22,CHA,57,535,12.6,.520,.048,.490,7.1,10.4,8.8,6.0,2.1,1.5,9.6,17.2,,0.5,0.8,1.3,.114,,-1.7,1.1,-0.6,0.2,2009-10,DerrickBrown2009-10
