PLAYER,POS,AGE,TEAM,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,SEASON,index
Maurice Evans,SF,32,ATL,47,837,7.5,.492,.443,.139,3.3,8.7,6.0,5.4,1.0,0.5,6.6,13.0,,0.3,0.6,0.9,.050,,-3.1,-0.5,-3.7,-0.4,2010-11,MauriceEvans2010-11
Kirk Hinrich,PG,30,ATL,24,686,9.8,.530,.411,.114,1.2,8.0,4.7,17.9,1.5,0.8,16.0,16.0,,0.2,0.5,0.7,.050,,-1.8,0.0,-1.8,0.0,2010-11,KirkHinrich2010-11
Al Horford,C,24,ATL,77,2704,20.7,.587,.004,.204,8.2,23.7,16.0,17.5,1.2,2.3,10.6,19.7,,6.4,3.7,10.1,.179,,2.5,1.1,3.6,3.9,2010-11,AlHorford2010-11
Joe Johnson,SG,29,ATL,72,2554,16.4,.517,.258,.209,2.8,10.9,6.9,24.0,1.0,0.2,10.3,26.3,,2.5,1.8,4.2,.080,,1.2,-1.5,-0.3,1.1,2010-11,JoeJohnson2010-11
Zaza Pachulia,C,26,ATL,79,1244,12.4,.562,.000,.772,11.6,20.6,16.1,7.0,1.5,1.3,18.2,14.5,,1.5,1.6,3.1,.118,,-2.8,0.1,-2.8,-0.2,2010-11,ZazaPachulia2010-11
Josh Powell,PF,28,ATL,54,653,8.0,.492,.005,.216,9.1,15.8,12.5,5.5,0.4,0.6,18.9,20.4,,-0.7,0.5,-0.2,-0.012,,-5.0,-2.3,-7.3,-0.9,2010-11,JoshPowell2010-11
Josh Smith,PF,25,ATL,77,2645,19.2,.540,.148,.304,6.2,23.7,15.0,17.1,2.0,3.5,14.3,24.7,,1.9,4.5,6.4,.116,,1.0,1.7,2.8,3.2,2010-11,JoshSmith2010-11
Pape Sy,SF,22,ATL,3,21,9.2,.478,.167,.500,11.6,5.7,8.6,14.5,2.6,0.0,29.1,23.3,,0.0,0.0,0.0,-0.047,,-3.5,-2.5,-6.0,0.0,2010-11,PapeSy2010-11
Jeff Teague,PG,22,ATL,70,963,14.6,.521,.158,.319,1.4,11.3,6.4,23.3,2.5,2.0,15.6,20.3,,0.4,1.2,1.7,.083,,-0.8,1.3,0.5,0.6,2010-11,JeffTeague2010-11
Etan Thomas,C,32,ATL,13,82,15.1,.580,.000,.714,8.9,24.8,16.9,3.9,0.7,3.7,15.3,18.9,,0.1,0.1,0.2,.130,,-1.9,0.3,-1.7,0.0,2010-11,EtanThomas2010-11
Damien Wilkins,SF,31,ATL,52,676,11.4,.557,.073,.409,4.1,11.9,8.0,9.3,2.1,1.0,11.5,12.8,,0.7,0.8,1.5,.104,,-2.4,1.4,-1.0,0.2,2010-11,DamienWilkins2010-11
Marvin Williams,SF,24,ATL,65,1865,13.5,.551,.205,.324,4.4,15.7,10.1,7.6,1.0,0.9,9.2,17.2,,2.3,1.7,4.0,.102,,-0.3,-0.5,-0.8,0.6,2010-11,MarvinWilliams2010-11
Jordan Farmar,PG,24,NJN,73,1796,14.1,.504,.467,.154,1.5,10.1,5.7,34.9,1.8,0.3,16.7,21.6,,0.8,1.0,1.9,.050,,0.8,-1.3,-0.4,0.7,2010-11,JordanFarmar2010-11
Derrick Favors,PF,19,NJN,56,1091,12.6,.540,.000,.420,13.3,19.1,16.1,3.2,0.9,2.9,14.6,16.3,,0.9,1.0,1.9,.083,,-3.2,-0.7,-3.9,-0.5,2010-11,DerrickFavors2010-11
Dan Gadzuric,PF,32,NJN,14,166,9.1,.417,.000,.317,12.5,22.7,17.4,2.9,1.0,5.1,14.6,15.3,,-0.2,0.2,0.1,.015,,-6.2,-1.2,-7.3,-0.2,2010-11,DanGadzuric2010-11
Sundiata Gaines,PG,24,NJN,10,146,15.3,.484,.354,.417,7.9,11.7,9.7,28.9,3.3,0.0,18.6,22.2,,0.0,0.1,0.1,.046,,-1.3,0.7,-0.5,0.1,2010-11,SundiataGaines2010-11
Stephen Graham,SG,28,NJN,59,959,4.4,.457,.105,.190,2.0,13.4,7.6,6.5,0.8,0.1,14.9,12.3,,-0.7,0.4,-0.3,-0.014,,-5.8,-1.0,-6.8,-1.2,2010-11,StephenGraham2010-11
Orien Greene,SG,28,NJN,3,5,33.0,.521,.000,1.000,0.0,0.0,0.0,37.8,10.7,0.0,0.0,26.7,,0.0,0.0,0.0,.293,,6.0,9.1,15.1,0.0,2010-11,OrienGreene2010-11
Devin Harris,PG,27,NJN,54,1724,17.6,.543,.180,.502,0.7,8.3,4.4,41.2,1.8,0.2,17.5,24.4,,2.6,0.9,3.4,.096,,2.0,-0.8,1.2,1.4,2010-11,DevinHarris2010-11
Kris Humphries,PF,25,NJN,74,2061,17.8,.555,.002,.328,12.5,32.2,22.1,7.0,0.9,3.0,13.4,17.3,,2.7,2.7,5.4,.125,,0.5,-0.1,0.4,1.3,2010-11,KrisHumphries2010-11
Damion James,SF,23,NJN,25,403,10.1,.477,.029,.272,4.8,20.5,12.5,8.1,2.1,2.3,17.8,16.2,,-0.4,0.5,0.1,.015,,-3.8,1.1,-2.6,-0.1,2010-11,DamionJames2010-11
Brook Lopez,C,22,NJN,82,2889,19.3,.549,.001,.374,7.8,12.3,10.0,8.8,0.9,3.2,10.4,27.3,,4.4,1.9,6.3,.105,,1.4,-0.9,0.6,1.9,2010-11,BrookLopez2010-11
Anthony Morrow,SG,25,NJN,58,1856,12.1,.573,.419,.173,2.3,8.8,5.5,6.3,0.5,0.3,7.5,18.0,,2.6,0.4,3.0,.078,,0.3,-1.3,-1.0,0.5,2010-11,AnthonyMorrow2010-11
Troy Murphy,PF,30,NJN,18,288,6.7,.389,.303,.224,4.4,27.0,15.4,9.2,1.3,0.5,13.5,15.6,,-0.4,0.3,-0.1,-0.022,,-4.5,0.3,-4.2,-0.2,2010-11,TroyMurphy2010-11
Travis Outlaw,SF,26,NJN,82,2358,8.8,.469,.345,.234,2.6,14.0,8.1,5.8,0.8,1.2,8.1,17.3,,-0.4,1.2,0.8,.016,,-2.4,-1.1,-3.5,-0.9,2010-11,TravisOutlaw2010-11
Johan Petro,C,25,NJN,77,893,9.9,.452,.014,.097,8.0,20.4,14.0,8.4,2.0,2.9,13.2,18.1,,-0.7,1.1,0.4,.024,,-5.5,0.9,-4.7,-0.6,2010-11,JohanPetro2010-11
Quinton Ross,SF,29,NJN,36,353,3.7,.437,.051,.237,3.3,6.9,5.0,4.3,0.5,1.3,9.7,9.5,,-0.1,0.1,0.0,-0.007,,-5.3,-0.8,-6.2,-0.4,2010-11,QuintonRoss2010-11
Joe Smith,PF,35,NJN,4,25,-3.9,.250,.000,.000,4.6,9.7,7.1,5.8,0.0,0.0,33.3,11.1,,-0.1,0.0,-0.1,-0.159,,-8.6,-1.5,-10.1,-0.1,2010-11,JoeSmith2010-11
Ben Uzoh,PG,22,NJN,42,438,14.7,.468,.056,.389,7.9,8.6,8.2,26.7,1.6,1.4,12.9,20.5,,0.2,0.2,0.5,.054,,0.4,-1.0,-0.6,0.2,2010-11,BenUzoh2010-11
SashaVujaÄiÄ‡,SG,26,NJN,56,1594,12.6,.518,.446,.164,2.1,11.7,6.7,13.6,1.8,0.2,9.0,19.6,,1.2,1.0,2.2,.066,,-0.8,-0.4,-1.2,0.3,2010-11,SashaVujaÄiÄ‡2010-11
Mario West,SG,26,NJN,6,116,9.1,.474,.190,.238,2.0,9.4,5.6,13.2,3.2,0.0,7.9,10.1,,0.1,0.1,0.2,.069,,-5.5,1.3,-4.2,-0.1,2010-11,MarioWest2010-11
Deron Williams,PG,26,NJN,12,456,17.0,.463,.349,.343,2.0,12.5,7.1,55.9,1.8,0.5,18.1,24.2,,0.3,0.3,0.6,.066,,1.4,-1.5,-0.1,0.2,2010-11,DeronWilliams2010-11
Terrence Williams,SG,23,NJN,10,206,6.2,.433,.164,.137,1.7,19.5,10.3,25.6,1.3,0.0,24.4,23.1,,-0.6,0.1,-0.4,-0.102,,-5.1,-0.3,-5.4,-0.2,2010-11,TerrenceWilliams2010-11
Brandan Wright,PF,23,NJN,16,184,15.5,.472,.000,.315,10.6,20.5,15.4,6.2,2.3,2.9,6.1,16.5,,0.2,0.2,0.4,.107,,-1.1,-0.3,-1.4,0.0,2010-11,BrandanWright2010-11
Ray Allen,SG,35,BOS,80,2890,16.4,.615,.387,.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,,5.8,4.2,10.0,.166,,2.3,0.6,2.9,3.6,2010-11,RayAllen2010-11
Carlos Arroyo,PG,31,BOS,15,190,6.7,.447,.143,.343,4.8,9.8,7.4,18.6,2.0,0.0,29.7,14.5,,-0.2,0.3,0.1,.016,,-4.1,1.0,-3.0,-0.1,2010-11,CarlosArroyo2010-11
Avery Bradley,PG,20,BOS,31,162,2.2,.360,.075,.179,3.2,9.3,6.5,11.9,3.0,0.0,18.1,26.1,,-0.8,0.3,-0.5,-0.139,,-10.8,-0.3,-11.1,-0.4,2010-11,AveryBradley2010-11
Marquis Daniels,SF,30,BOS,49,938,11.7,.527,.091,.246,3.3,11.0,7.4,10.6,2.2,1.8,12.9,15.1,,0.3,1.7,2.0,.103,,-1.7,2.3,0.6,0.6,2010-11,MarquisDaniels2010-11
Glen Davis,C,25,BOS,78,2298,12.8,.499,.019,.331,5.7,16.4,11.4,6.6,1.8,1.0,8.5,20.9,,0.6,4.3,4.9,.102,,-2.6,0.7,-1.9,0.0,2010-11,GlenDavis2010-11
Semih Erden,C,24,BOS,37,531,10.8,.621,.000,.557,7.6,16.6,12.4,5.5,1.3,3.1,20.9,13.8,,0.4,1.0,1.4,.128,,-4.3,2.0,-2.3,0.0,2010-11,SemihErden2010-11
Kevin Garnett,PF,34,BOS,71,2220,20.6,.575,.006,.264,4.9,28.7,17.5,13.5,2.3,2.0,11.1,22.3,,3.4,5.6,9.0,.194,,1.8,2.9,4.7,3.8,2010-11,KevinGarnett2010-11
Jeff Green,SF,24,BOS,26,612,12.9,.553,.134,.312,3.4,13.3,8.6,5.1,1.1,2.0,9.1,19.8,,0.5,1.0,1.5,.118,,-1.5,0.8,-0.7,0.2,2010-11,JeffGreen2010-11
Luke Harangody,PF,23,BOS,28,241,8.7,.423,.141,.113,9.2,18.3,14.0,6.4,0.9,2.3,6.3,15.8,,-0.1,0.4,0.4,.075,,-4.9,-0.2,-5.2,-0.2,2010-11,LukeHarangody2010-11
Chris Johnson,C,25,BOS,4,32,9.9,.773,.000,.667,4.1,14.5,9.6,4.5,0.0,7.3,34.0,8.8,,0.0,0.1,0.1,.118,,-3.0,2.6,-0.4,0.0,2010-11,ChrisJohnson2010-11
Nenad Krstić,C,27,BOS,24,553,14.3,.598,.000,.544,11.1,17.0,14.2,2.3,0.8,1.1,11.2,17.8,,1.0,0.9,2.0,.170,,-1.4,-0.3,-1.8,0.0,2010-11,NenadKrstić2010-11
Troy Murphy,PF,30,BOS,17,178,10.1,.503,.263,.342,8.1,17.6,13.1,5.0,2.4,0.4,13.8,13.7,,0.1,0.4,0.4,.111,,-2.8,1.5,-1.3,0.0,2010-11,TroyMurphy2010-11
Jermaine O'Neal,C,32,BOS,24,431,9.2,.504,.009,.394,7.6,17.0,12.6,4.3,0.2,5.4,17.4,17.2,,-0.2,0.8,0.6,.065,,-5.4,1.3,-4.2,-0.2,2010-11,JermaineO'Neal2010-11
Shaquille O'Neal,C,38,BOS,37,752,17.4,.659,.000,.652,8.3,20.1,14.6,5.9,1.1,4.4,17.8,20.1,,1.1,1.6,2.7,.174,,-1.7,2.0,0.3,0.4,2010-11,ShaquilleO'Neal2010-11
Sasha Pavlović,SG,27,BOS,17,149,5.1,.550,.385,.192,0.9,10.1,5.8,2.9,1.8,0.0,17.5,11.0,,-0.1,0.2,0.2,.051,,-5.3,1.2,-4.1,-0.1,2010-11,SashaPavlović2010-11
Kendrick Perkins,C,26,BOS,12,313,10.2,.568,.000,.678,9.6,27.5,19.1,4.8,0.3,2.5,24.6,15.6,,-0.1,0.6,0.6,.088,,-3.6,1.1,-2.5,0.0,2010-11,KendrickPerkins2010-11
Paul Pierce,SF,33,BOS,80,2774,19.7,.620,.291,.440,1.6,16.6,9.5,16.1,1.5,1.4,12.3,24.0,,6.5,5.1,11.6,.201,,3.0,1.6,4.6,4.6,2010-11,PaulPierce2010-11
Nate Robinson,PG,26,BOS,55,983,10.2,.512,.532,.111,2.0,8.7,5.6,17.4,1.6,0.3,14.8,21.7,,-0.3,1.5,1.1,.054,,-2.3,0.0,-2.3,-0.1,2010-11,NateRobinson2010-11
Rajon Rondo,PG,24,BOS,68,2527,17.1,.495,.064,.197,4.5,9.7,7.2,47.1,3.2,0.3,24.3,18.3,,1.8,4.8,6.6,.126,,1.6,1.4,3.1,3.2,2010-11,RajonRondo2010-11
Von Wafer,SG,25,BOS,58,553,10.6,.524,.421,.239,1.7,8.8,5.5,9.8,1.7,0.7,10.2,17.0,,0.2,0.9,1.1,.092,,-2.3,0.9,-1.4,0.1,2010-11,VonWafer2010-11
Delonte West,PG,27,BOS,24,453,12.3,.533,.275,.125,1.7,8.0,5.0,22.0,2.3,1.7,19.2,16.6,,0.1,0.8,0.9,.093,,-0.5,2.3,1.8,0.4,2010-11,DelonteWest2010-11
D.J. Augustin,PG,23,CHA,82,2757,15.9,.541,.348,.310,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,,4.9,1.3,6.2,.108,,1.7,-1.6,0.1,1.5,2010-11,D.J.Augustin2010-11
Derrick Brown,SF,23,CHA,41,488,12.4,.565,.053,.416,7.9,13.0,10.4,9.9,1.8,1.3,17.3,15.6,,0.3,0.4,0.8,.074,,-1.7,0.0,-1.6,0.0,2010-11,DerrickBrown2010-11
Kwame Brown,C,28,CHA,66,1714,12.8,.550,.000,.616,10.3,21.6,15.9,4.1,0.8,1.8,12.6,14.9,,1.8,1.7,3.5,.097,,-1.9,-0.9,-2.8,-0.3,2010-11,KwameBrown2010-11
Matt Carroll,SG,30,CHA,54,582,12.2,.530,.231,.261,2.5,11.7,7.1,6.9,1.6,0.8,9.4,19.8,,0.3,0.5,0.8,.062,,-1.9,-0.8,-2.7,-0.1,2010-11,MattCarroll2010-11
Sherron Collins,PG,23,CHA,20,66,3.6,.334,.400,.040,0.0,9.2,4.6,19.6,1.6,0.0,13.6,20.9,,-0.2,0.0,-0.2,-0.121,,-6.0,-2.1,-8.0,-0.1,2010-11,SherronCollins2010-11
Dante Cunningham,PF,23,CHA,22,529,13.1,.525,.050,.094,5.2,15.0,10.1,4.5,1.5,1.7,8.7,18.3,,0.2,0.5,0.7,.065,,-1.8,-1.1,-2.8,-0.1,2010-11,DanteCunningham2010-11
Boris Diaw,PF,28,CHA,82,2778,13.9,.558,.292,.159,4.5,13.6,9.0,20.6,1.4,1.3,16.7,16.8,,2.4,2.3,4.8,.082,,0.3,0.3,0.6,1.8,2010-11,BorisDiaw2010-11
DeSagana Diop,C,29,CHA,16,181,5.4,.347,.000,.458,8.0,18.9,13.4,5.7,1.2,6.7,27.6,10.3,,-0.3,0.3,-0.1,-0.016,,-6.7,1.8,-4.9,-0.1,2010-11,DeSaganaDiop2010-11
Gerald Henderson,SG,23,CHA,68,1661,13.2,.509,.063,.286,3.5,11.6,7.5,10.7,1.6,1.6,9.1,19.9,,0.9,1.4,2.4,.068,,-1.6,-0.2,-1.8,0.1,2010-11,GeraldHenderson2010-11
Stephen Jackson,SG,32,CHA,67,2405,14.6,.520,.339,.288,2.7,12.7,7.7,18.4,1.8,0.9,14.9,27.4,,-0.2,2.1,1.9,.039,,0.2,-0.7,-0.5,0.9,2010-11,StephenJackson2010-11
Shaun Livingston,PG,25,CHA,73,1261,14.3,.530,.010,.315,2.8,11.6,7.2,22.5,2.0,1.9,16.3,20.1,,0.7,1.2,1.9,.073,,-1.0,1.0,0.0,0.7,2010-11,ShaunLivingston2010-11
Dominic McGuire,SF,25,CHA,52,760,10.4,.437,.011,.214,10.0,21.8,15.9,9.0,0.7,3.5,11.2,13.8,,0.1,0.9,0.9,.059,,-3.3,0.3,-2.9,-0.2,2010-11,DominicMcGuire2010-11
Nazr Mohammed,C,33,CHA,51,851,15.9,.520,.003,.278,13.3,22.6,17.9,3.7,0.9,4.4,12.5,22.4,,0.3,1.1,1.4,.080,,-2.4,-0.8,-3.2,-0.3,2010-11,NazrMohammed2010-11
Eduardo Nájera,PF,34,CHA,31,372,5.5,.449,.472,.153,4.5,9.8,7.2,8.2,1.6,1.3,14.5,11.3,,-0.1,0.3,0.2,.020,,-4.5,0.9,-3.6,-0.2,2010-11,EduardoNájera2010-11
Joel Przybilla,C,31,CHA,5,74,0.3,.383,.000,.400,14.6,24.7,19.6,0.0,0.0,1.1,37.3,11.9,,-0.2,0.1,-0.1,-0.074,,-9.9,-1.9,-11.8,-0.2,2010-11,JoelPrzybilla2010-11
Garrett Temple,PG,24,CHA,12,126,6.4,.406,.619,.262,0.0,14.5,7.2,30.2,3.8,2.6,29.9,24.9,,-0.5,0.2,-0.3,-0.119,,-6.2,-0.4,-6.6,-0.1,2010-11,GarrettTemple2010-11
Tyrus Thomas,C,24,CHA,41,861,18.2,.536,.009,.411,9.1,22.5,15.8,6.2,1.9,6.2,14.3,24.9,,0.4,1.5,1.8,.103,,-1.8,1.2,-0.6,0.3,2010-11,TyrusThomas2010-11
Gerald Wallace,SF,28,CHA,48,1872,15.0,.530,.182,.488,4.6,21.0,12.7,10.5,1.7,2.1,12.4,20.2,,1.3,2.3,3.6,.092,,-0.3,0.7,0.4,1.1,2010-11,GeraldWallace2010-11
D.J. White,C,24,CHA,24,466,17.7,.571,.013,.351,8.0,19.6,13.8,5.8,0.7,2.1,3.8,18.6,,1.1,0.4,1.6,.161,,1.0,-0.9,0.1,0.2,2010-11,D.J.White2010-11
Ömer Aşık,C,24,CHI,82,989,11.8,.559,.000,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,,0.5,2.2,2.7,.130,,-3.6,1.8,-1.8,0.1,2010-11,ÖmerAşık2010-11
Keith Bogans,SG,30,CHI,82,1461,9.0,.559,.772,.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,,1.4,2.2,3.6,.118,,-1.5,1.4,-0.2,0.7,2010-11,KeithBogans2010-11
Carlos Boozer,C,29,CHI,59,1882,18.8,.542,.000,.289,8.3,26.3,17.6,14.3,1.3,0.7,13.5,26.9,,1.9,3.9,5.8,.149,,0.2,0.8,1.0,1.4,2010-11,CarlosBoozer2010-11
Ronnie Brewer,SG,25,CHI,81,1781,13.8,.518,.063,.311,3.7,13.2,8.6,12.1,3.2,0.9,10.2,13.9,,1.7,3.8,5.4,.147,,-1.3,3.7,2.4,2.0,2010-11,RonnieBrewer2010-11
Rasual Butler,SG,31,CHI,6,26,14.5,.727,.636,.000,0.0,4.4,2.3,0.0,0.0,0.0,15.4,23.0,,0.0,0.0,0.1,.107,,2.5,-2.4,0.1,0.0,2010-11,RasualButler2010-11
Luol Deng,SF,25,CHI,82,3208,15.5,.549,.288,.291,4.4,12.8,8.7,11.9,1.3,1.1,10.7,20.9,,4.7,5.2,9.9,.149,,1.1,0.6,1.7,3.0,2010-11,LuolDeng2010-11
Taj Gibson,PF,25,CHI,80,1742,14.3,.502,.016,.295,11.2,19.4,15.4,5.3,1.2,4.6,11.1,16.8,,1.4,3.8,5.2,.143,,-2.2,1.4,-0.9,0.5,2010-11,TajGibson2010-11
James Johnson,SF,23,CHI,13,123,8.8,.449,.220,.317,5.9,16.7,11.4,18.1,3.5,5.6,27.8,24.2,,-0.4,0.3,0.0,-0.014,,-6.8,3.4,-3.4,-0.1,2010-11,JamesJohnson2010-11
Kyle Korver,SG,29,CHI,82,1649,13.0,.572,.519,.156,0.9,9.5,5.3,12.1,1.1,0.9,9.2,18.3,,2.7,2.4,5.1,.149,,0.4,0.7,1.1,1.3,2010-11,KyleKorver2010-11
John Lucas III,PG,28,CHI,2,10,-0.1,.258,.333,.667,0.0,0.0,0.0,15.0,0.0,0.0,0.0,17.8,,0.0,0.0,0.0,-0.121,,-6.3,-3.3,-9.6,0.0,2010-11,JohnLucasIII2010-11
Joakim Noah,C,25,CHI,48,1576,18.8,.579,.002,.468,13.9,22.8,18.5,10.7,1.6,3.5,15.7,16.8,,3.1,3.6,6.7,.205,,0.8,2.1,2.9,1.9,2010-11,JoakimNoah2010-11
Derrick Rose,PG,22,CHI,81,3026,23.5,.550,.241,.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,,8.3,4.8,13.1,.208,,6.3,0.5,6.8,6.7,2010-11,DerrickRose2010-11
Brian Scalabrine,PF,32,CHI,18,88,6.5,.526,.263,.000,1.4,9.1,5.3,10.4,1.8,3.5,20.8,12.5,,0.0,0.2,0.1,.071,,-6.5,2.7,-3.8,0.0,2010-11,BrianScalabrine2010-11
Kurt Thomas,PF,38,CHI,52,1178,10.0,.527,.005,.172,7.7,21.9,15.0,7.4,1.4,2.7,17.3,9.4,,0.7,2.6,3.2,.131,,-3.4,2.8,-0.6,0.4,2010-11,KurtThomas2010-11
C.J. Watson,PG,26,CHI,82,1091,12.8,.466,.284,.236,1.8,8.1,5.0,26.9,2.7,0.8,14.4,21.4,,0.2,2.0,2.1,.093,,-1.4,1.1,-0.3,0.5,2010-11,C.J.Watson2010-11
Baron Davis,PG,31,CLE,15,380,19.3,.548,.489,.152,1.8,9.3,5.4,45.4,2.2,1.2,17.0,27.3,,0.5,0.2,0.7,.086,,4.8,-0.9,3.9,0.6,2010-11,BaronDavis2010-11
Semih Erden,C,24,CLE,4,64,6.2,.391,.000,.429,10.5,9.2,9.9,2.3,1.6,3.6,10.7,13.2,,0.0,0.0,0.0,.002,,-6.8,-1.4,-8.2,-0.1,2010-11,SemihErden2010-11
Christian Eyenga,SF,21,CLE,44,947,9.0,.476,.297,.092,3.2,12.0,7.5,6.2,1.9,2.3,12.9,17.5,,-0.8,0.5,-0.3,-0.016,,-3.4,-0.6,-4.0,-0.5,2010-11,ChristianEyenga2010-11
Alonzo Gee,SG,23,CLE,40,973,11.1,.552,.209,.342,5.6,13.1,9.3,5.5,1.7,1.3,14.0,14.6,,0.6,0.5,1.0,.052,,-1.9,-0.4,-2.3,-0.1,2010-11,AlonzoGee2010-11
Daniel Gibson,SG,24,CLE,67,1865,13.2,.533,.444,.247,1.4,9.7,5.5,18.3,1.3,0.9,9.9,19.7,,2.0,0.4,2.4,.062,,0.3,-0.7,-0.4,0.8,2010-11,DanielGibson2010-11
Joey Graham,SF,28,CLE,39,586,7.7,.518,.168,.201,1.5,15.3,8.2,5.2,0.5,0.9,12.6,17.2,,-0.2,0.1,0.0,-0.004,,-4.5,-1.3,-5.8,-0.6,2010-11,JoeyGraham2010-11
Luke Harangody,PF,23,CLE,21,399,11.0,.455,.415,.133,6.4,19.3,12.7,8.3,1.4,1.9,7.1,17.5,,0.0,0.3,0.3,.032,,-2.3,-0.5,-2.8,-0.1,2010-11,LukeHarangody2010-11
Manny Harris,SG,21,CLE,54,933,10.4,.486,.318,.322,4.3,13.2,8.6,14.8,1.7,0.6,16.0,19.1,,-0.4,0.4,0.0,.002,,-2.3,-1.2,-3.5,-0.4,2010-11,MannyHarris2010-11
J.J. Hickson,C,22,CLE,80,2256,15.6,.503,.005,.392,10.8,25.0,17.7,7.5,1.1,1.8,13.6,25.5,,-0.2,1.7,1.5,.032,,-1.8,-2.1,-3.8,-1.1,2010-11,J.J.Hickson2010-11
Ryan Hollins,C,26,CLE,70,1182,10.7,.642,.000,.744,6.6,11.6,9.0,3.6,1.0,2.7,18.7,13.7,,1.3,0.5,1.8,.072,,-4.0,-0.3,-4.3,-0.7,2010-11,RyanHollins2010-11
Antawn Jamison,PF,34,CLE,56,1842,16.8,.516,.300,.267,5.2,18.5,11.7,9.6,1.4,1.2,7.3,26.0,,1.5,1.1,2.6,.067,,1.3,-1.5,-0.1,0.9,2010-11,AntawnJamison2010-11
Jamario Moon,SF,30,CLE,40,764,10.7,.488,.503,.058,2.0,16.1,8.9,9.3,1.7,2.7,8.1,12.5,,0.2,0.5,0.7,.043,,-1.4,0.6,-0.8,0.2,2010-11,JamarioMoon2010-11
Anthony Parker,SF,35,CLE,72,2091,10.5,.505,.411,.172,1.8,10.5,6.0,16.7,1.7,0.4,11.9,14.6,,0.9,0.6,1.5,.034,,-1.7,-0.3,-2.0,0.0,2010-11,AnthonyParker2010-11
Leon Powe,PF,27,CLE,14,187,12.9,.497,.000,.441,9.6,13.9,11.7,1.9,1.9,1.2,6.6,18.3,,0.1,0.1,0.2,.051,,-1.8,-1.5,-3.3,-0.1,2010-11,LeonPowe2010-11
Samardo Samuels,PF,22,CLE,37,701,11.7,.498,.012,.456,12.0,14.0,13.0,4.2,1.1,2.0,15.5,22.1,,-0.3,0.3,0.0,.002,,-3.6,-2.2,-5.8,-0.7,2010-11,SamardoSamuels2010-11
Ramon Sessions,PG,24,CLE,81,2133,19.0,.559,.019,.545,2.4,11.6,6.9,35.0,1.5,0.3,15.6,24.2,,3.8,0.6,4.4,.099,,1.8,-1.4,0.3,1.3,2010-11,RamonSessions2010-11
Anderson Varejão,C,28,CLE,31,994,15.2,.560,.009,.375,11.0,24.1,17.4,7.4,1.4,2.9,13.7,13.3,,1.3,0.9,2.2,.105,,-0.9,0.1,-0.8,0.3,2010-11,AndersonVarejão2010-11
Jawad Williams,SF,27,CLE,26,391,4.8,.396,.357,.095,2.0,12.4,7.1,9.0,1.2,0.6,10.9,17.1,,-0.6,0.1,-0.5,-0.067,,-5.5,-1.4,-6.8,-0.5,2010-11,JawadWilliams2010-11
Mo Williams,PG,28,CLE,36,1065,13.8,.471,.294,.221,1.6,9.1,5.2,42.8,1.6,0.7,17.2,26.0,,-0.4,0.3,-0.1,-0.005,,-0.3,-2.5,-2.8,-0.2,2010-11,MoWilliams2010-11
Alexis Ajinça,C,22,DAL,10,75,12.8,.435,.219,.094,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,,0.0,0.1,0.1,.084,,-3.4,0.5,-2.9,0.0,2010-11,AlexisAjinça2010-11
J.J. Barea,PG,26,DAL,81,1669,14.8,.535,.291,.242,2.1,8.8,5.6,31.2,0.9,0.0,15.9,23.9,,1.9,1.4,3.2,.093,,0.5,-1.0,-0.5,0.6,2010-11,J.J.Barea2010-11
Rodrigue Beaubois,PG,22,DAL,28,496,11.4,.500,.372,.135,1.7,10.2,6.1,21.9,2.1,1.2,16.6,26.7,,-0.4,0.7,0.2,.022,,-3.2,0.5,-2.7,-0.1,2010-11,RodrigueBeaubois2010-11
Corey Brewer,SG,24,DAL,13,148,17.6,.573,.255,.412,9.9,8.4,9.1,13.3,3.9,1.0,14.2,22.2,,0.3,0.3,0.5,.163,,-0.8,2.6,1.8,0.1,2010-11,CoreyBrewer2010-11
Caron Butler,SF,30,DAL,29,867,14.2,.523,.172,.233,3.1,12.5,8.0,9.1,1.7,0.7,10.5,25.1,,0.2,1.0,1.2,.067,,-0.8,0.0,-0.9,0.2,2010-11,CaronButler2010-11
Brian Cardinal,SF,33,DAL,56,618,9.7,.672,.870,.180,2.0,8.9,5.6,9.1,2.0,0.9,13.6,9.5,,1.0,0.7,1.7,.132,,-1.2,2.4,1.2,0.5,2010-11,BrianCardinal2010-11
Tyson Chandler,C,28,DAL,74,2059,18.4,.697,.000,.725,12.2,26.6,19.7,2.4,0.9,3.0,14.1,14.2,,5.8,3.5,9.4,.218,,0.6,1.0,1.5,1.8,2010-11,TysonChandler2010-11
Brendan Haywood,C,31,DAL,72,1331,11.7,.532,.004,.794,11.8,20.9,16.5,2.1,0.6,4.2,14.5,12.4,,0.8,2.1,2.9,.104,,-2.5,0.6,-1.9,0.0,2010-11,BrendanHaywood2010-11
