,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON,index
999,José Calderón,PG,29,TOR,68,55,2102,6.4,14.7,.440,1.4,3.8,.365,5.0,10.8,.466,2.2,2.5,.854,0.7,4.2,5.0,14.9,2.0,0.2,3.6,3.5,16.5,,112,114,2010-11,JoséCalderón2010-11
1000,Ed Davis,PF,21,TOR,65,17,1602,6.9,12.0,.576,0.0,0.0,,6.9,12.0,.576,2.3,4.1,.555,5.4,9.5,14.9,1.3,1.3,2.2,1.5,5.9,16.2,,120,110,2010-11,EdDavis2010-11
1001,DeMar DeRozan,SG,21,TOR,82,82,2851,9.8,20.9,.467,0.1,0.9,.096,9.7,20.0,.485,5.9,7.3,.813,1.4,4.4,5.7,2.7,1.5,0.6,2.6,3.9,25.6,,106,115,2010-11,DeMarDeRozan2010-11
1002,Joey Dorsey,C,27,TOR,43,9,522,5.1,9.8,.525,0.0,0.0,,5.1,9.8,.525,3.1,6.4,.477,7.8,11.0,18.8,2.7,2.4,1.7,3.9,7.7,13.4,,103,107,2010-11,JoeyDorsey2010-11
1003,Ronald Dupree,SF,30,TOR,3,0,13,4.0,15.9,.250,0.0,4.0,.000,4.0,11.9,.333,0.0,0.0,,0.0,11.9,11.9,4.0,0.0,0.0,0.0,8.0,8.0,,69,113,2010-11,RonaldDupree2010-11
1004,Reggie Evans,PF,30,TOR,30,18,798,2.7,6.7,.408,0.0,0.1,.000,2.7,6.6,.412,3.1,5.7,.545,7.7,14.6,22.3,2.5,1.9,0.4,2.5,5.8,8.6,,106,107,2010-11,ReggieEvans2010-11
1005,Sundiata Gaines,PG,24,TOR,6,0,90,8.6,20.1,.429,1.7,8.6,.200,6.9,11.5,.600,1.1,3.4,.333,1.1,3.4,4.6,6.3,2.3,0.6,4.6,5.7,20.1,,89,113,2010-11,SundiataGaines2010-11
1006,Jarrett Jack,PG,27,TOR,13,13,347,7.2,18.2,.393,0.6,3.6,.167,6.6,14.6,.449,6.0,6.9,.870,0.9,5.4,6.3,8.8,2.1,0.0,5.1,3.7,20.9,,97,113,2010-11,JarrettJack2010-11
1007,Amir Johnson,PF,23,TOR,72,54,1853,7.8,13.8,.568,0.0,0.0,.000,7.8,13.8,.569,3.5,4.5,.788,5.3,7.6,12.9,2.3,1.5,2.5,1.9,7.3,19.2,,124,110,2010-11,AmirJohnson2010-11
1008,James Johnson,SF,23,TOR,25,25,699,6.7,14.5,.464,0.4,1.8,.240,6.3,12.6,.497,3.0,4.3,.707,2.3,6.4,8.7,5.5,1.8,2.1,3.4,5.2,16.9,,102,111,2010-11,JamesJohnson2010-11
1009,Trey Johnson,SG,26,TOR,7,0,81,6.4,19.1,.333,0.6,1.9,.333,5.7,17.2,.333,4.5,5.1,.875,1.3,3.2,4.5,7.0,0.6,0.6,3.2,7.0,17.9,,92,117,2010-11,TreyJohnson2010-11
1010,Linas Kleiza,SF,26,TOR,39,23,1032,8.9,20.3,.438,2.0,6.6,.298,7.0,13.8,.505,2.1,3.3,.631,1.9,7.0,8.9,2.0,1.0,0.4,3.3,5.0,21.8,,95,114,2010-11,LinasKleiza2010-11
1011,Peja Stojaković,SF,33,TOR,2,0,22,16.4,23.5,.700,9.4,14.1,.667,7.0,9.4,.750,4.7,4.7,1.000,0.0,7.0,7.0,2.3,0.0,0.0,4.7,0.0,47.0,,139,117,2010-11,PejaStojaković2010-11
1012,Sonny Weems,SF,24,TOR,59,28,1413,8.3,18.8,.444,0.6,2.2,.279,7.7,16.5,.467,2.6,3.4,.766,1.4,4.2,5.6,3.8,1.2,0.1,3.1,3.2,19.9,,96,116,2010-11,SonnyWeems2010-11
1013,Julian Wright,SF,23,TOR,52,6,766,5.5,10.8,.513,0.1,0.7,.200,5.4,10.1,.533,1.5,2.9,.512,3.2,4.8,8.0,3.9,2.6,1.3,2.9,3.0,12.7,,101,111,2010-11,JulianWright2010-11
1014,Raja Bell,SG,34,UTA,68,63,2097,4.8,11.7,.409,1.7,4.9,.352,3.1,6.9,.449,2.3,2.6,.892,0.8,3.6,4.4,3.0,1.4,0.4,1.6,4.2,13.6,,107,114,2010-11,RajaBell2010-11
1015,Marcus Cousin,C,24,UTA,4,0,18,5.9,8.8,.667,0.0,0.0,,5.9,8.8,.667,0.0,0.0,,0.0,8.8,8.8,0.0,0.0,2.9,2.9,2.9,11.7,,90,111,2010-11,MarcusCousin2010-11
1016,Francisco Elson,C,34,UTA,62,1,610,4.7,9.8,.478,0.0,0.0,,4.7,9.8,.478,2.2,2.7,.839,3.0,6.9,9.9,2.9,1.8,1.2,2.8,7.3,11.6,,101,109,2010-11,FranciscoElson2010-11
1017,Jeremy Evans,SF,23,UTA,49,3,463,8.7,13.1,.661,0.0,0.1,.000,8.7,13.0,.667,3.0,4.2,.703,4.1,6.9,11.0,2.7,1.9,1.9,2.2,5.7,20.3,,128,109,2010-11,JeremyEvans2010-11
1018,Derrick Favors,PF,19,UTA,22,4,444,8.8,16.6,.529,0.0,0.0,,8.8,16.6,.529,3.8,6.8,.561,5.3,8.3,13.7,2.1,1.3,3.2,2.5,7.5,21.4,,110,108,2010-11,DerrickFavors2010-11
1019,Kyrylo Fesenko,C,24,UTA,53,1,456,5.1,11.6,.440,0.0,0.1,.000,5.1,11.4,.444,2.1,5.3,.391,3.9,8.6,12.5,2.1,0.5,1.8,2.9,10.4,12.3,,89,110,2010-11,KyryloFesenko2010-11
1020,Devin Harris,PG,27,UTA,17,16,530,8.3,20.0,.413,2.5,7.0,.357,5.8,13.0,.443,7.7,9.4,.811,0.6,3.4,4.0,9.2,1.3,0.2,4.9,3.3,26.7,,107,114,2010-11,DevinHarris2010-11
1021,Gordon Hayward,SF,20,UTA,72,17,1218,6.1,12.7,.485,1.5,3.2,.473,4.6,9.5,.489,3.0,4.2,.711,1.8,4.2,6.0,3.5,1.3,0.8,3.0,4.6,16.8,,106,113,2010-11,GordonHayward2010-11
1022,Al Jefferson,C,26,UTA,82,82,2940,11.7,23.7,.496,0.0,0.0,,11.7,23.7,.496,3.9,5.2,.761,4.2,10.0,14.2,2.7,0.8,2.7,1.9,4.3,27.4,,111,108,2010-11,AlJefferson2010-11
1023,Andrei Kirilenko,SF,29,UTA,64,62,1999,6.7,14.3,.467,0.9,2.6,.367,5.7,11.7,.489,5.5,7.1,.770,2.6,6.0,8.6,5.1,2.1,2.0,3.1,3.0,19.8,,112,109,2010-11,AndreiKirilenko2010-11
1024,C.J. Miles,SF,23,UTA,78,19,1969,9.8,24.1,.407,2.9,9.1,.322,6.9,15.0,.459,4.3,5.2,.811,1.4,5.4,6.8,3.6,2.0,1.0,2.5,5.9,26.8,,103,110,2010-11,C.J.Miles2010-11
1025,Paul Millsap,PF,25,UTA,76,76,2605,10.6,20.0,.531,0.2,0.5,.391,10.4,19.5,.535,5.2,6.8,.757,3.3,8.4,11.7,3.8,2.1,1.4,2.9,5.5,26.6,,114,108,2010-11,PaulMillsap2010-11
1026,Mehmet Okur,C,31,UTA,13,0,168,6.9,19.5,.355,1.6,5.0,.313,5.3,14.4,.370,4.7,6.3,.750,2.8,6.6,9.4,6.0,1.3,1.3,2.2,5.6,20.1,,102,111,2010-11,MehmetOkur2010-11
1027,Ronnie Price,SG,27,UTA,59,0,717,5.4,15.4,.352,1.5,5.1,.290,4.0,10.4,.383,2.1,2.9,.744,1.6,2.9,4.5,4.1,3.1,0.4,4.0,7.8,14.5,,84,110,2010-11,RonniePrice2010-11
1028,Earl Watson,PG,31,UTA,80,13,1567,4.2,10.3,.410,1.2,3.6,.336,3.0,6.7,.450,1.9,2.8,.671,1.7,4.4,6.1,9.4,2.1,0.6,3.9,4.9,11.5,,100,112,2010-11,EarlWatson2010-11
1029,Kyle Weaver,SG,24,UTA,5,0,69,6.9,19.1,.360,2.3,5.3,.429,4.6,13.8,.333,5.3,6.1,.875,1.5,6.1,7.6,5.3,1.5,1.5,5.3,2.3,21.4,,92,111,2010-11,KyleWeaver2010-11
1030,Deron Williams,PG,26,UTA,53,53,2009,9.7,21.2,.458,2.3,6.8,.345,7.3,14.4,.511,7.9,9.3,.853,0.8,4.5,5.4,13.5,1.7,0.3,4.9,4.0,29.6,,116,113,2010-11,DeronWilliams2010-11
1031,Gilbert Arenas,PG,29,WAS,21,14,726,9.2,23.3,.394,3.3,10.2,.324,5.8,13.0,.449,3.9,4.7,.836,0.4,4.5,4.9,8.2,2.1,0.8,5.0,5.4,25.6,,98,111,2010-11,GilbertArenas2010-11
1032,Hilton Armstrong,C,26,WAS,41,2,412,3.8,7.9,.484,0.1,0.4,.333,3.7,7.6,.492,1.7,2.9,.609,4.8,9.3,14.2,1.2,1.9,2.0,3.1,9.3,9.6,,96,107,2010-11,HiltonArmstrong2010-11
1033,Mike Bibby,PG,32,WAS,2,0,29,1.8,15.9,.111,0.0,7.1,.000,1.8,8.8,.200,0.0,0.0,,0.0,5.3,5.3,14.1,1.8,0.0,1.8,5.3,3.5,,60,112,2010-11,MikeBibby2010-11
1034,Andray Blatche,PF,24,WAS,64,63,2172,10.0,22.5,.445,0.1,0.4,.222,9.9,22.1,.449,5.2,6.7,.777,4.3,8.1,12.4,3.4,2.3,1.2,4.1,4.3,25.3,,100,108,2010-11,AndrayBlatche2010-11
1035,Trevor Booker,PF,23,WAS,65,14,1063,6.7,12.2,.549,0.0,0.0,.000,6.7,12.1,.552,3.3,4.9,.673,4.7,7.4,12.1,1.7,1.4,2.0,1.8,5.5,16.7,,118,109,2010-11,TrevorBooker2010-11
1036,Jordan Crawford,SG,22,WAS,26,18,867,9.7,25.0,.390,1.4,6.0,.238,8.3,19.0,.438,4.1,4.6,.885,1.3,3.2,4.5,6.0,2.1,0.2,4.0,3.0,25.0,,94,113,2010-11,JordanCrawford2010-11
1037,Maurice Evans,SF,32,WAS,26,12,712,7.0,16.0,.439,1.9,5.6,.346,5.1,10.4,.490,2.0,2.2,.933,2.1,3.1,5.2,1.1,1.3,0.6,1.3,4.0,18.0,,110,114,2010-11,MauriceEvans2010-11
1038,Alonzo Gee,SG,23,WAS,11,5,127,4.8,10.9,.444,0.0,0.8,.000,4.8,10.1,.480,3.2,4.8,.667,4.4,4.4,8.9,2.0,2.8,0.0,3.2,4.0,12.9,,97,110,2010-11,AlonzoGee2010-11
1039,Kirk Hinrich,SG,30,WAS,48,29,1471,6.9,15.2,.452,1.5,3.9,.384,5.4,11.3,.475,3.2,3.7,.876,0.5,4.0,4.5,7.3,1.9,0.3,2.9,4.1,18.5,,109,112,2010-11,KirkHinrich2010-11
1040,Josh Howard,SF,30,WAS,18,10,409,7.3,20.3,.358,0.9,3.6,.241,6.4,16.6,.383,3.6,5.9,.617,2.3,7.0,9.3,3.0,1.6,0.6,2.5,4.3,19.0,,89,111,2010-11,JoshHoward2010-11
1041,Lester Hudson,PG,26,WAS,11,0,73,4.2,16.8,.250,2.8,10.5,.267,1.4,6.3,.222,1.4,2.8,.500,0.7,2.8,3.5,11.9,2.8,0.7,4.9,7.0,12.6,,81,111,2010-11,LesterHudson2010-11
1042,Othyus Jeffers,SG,25,WAS,16,1,314,4.9,10.1,.484,0.2,0.7,.250,4.7,9.4,.500,4.9,7.5,.652,4.1,6.5,10.6,3.1,2.8,0.0,2.1,5.1,14.8,,114,109,2010-11,OthyusJeffers2010-11
1043,Yi Jianlian,PF,23,WAS,63,11,1112,6.7,16.0,.418,0.1,0.6,.231,6.5,15.4,.425,2.9,4.2,.681,3.6,7.8,11.4,1.2,1.2,1.5,2.3,5.3,16.3,,95,110,2010-11,YiJianlian2010-11
1044,Rashard Lewis,SF,31,WAS,32,27,1014,7.0,15.7,.446,2.2,6.3,.347,4.8,9.5,.511,2.2,2.6,.843,2.4,6.9,9.3,3.2,1.5,1.0,2.6,4.8,18.4,,107,110,2010-11,RashardLewis2010-11
1045,Cartier Martin,SF,26,WAS,52,1,542,6.7,17.2,.390,3.7,9.3,.394,3.0,7.8,.386,2.6,3.8,.700,1.9,5.1,7.0,1.7,1.7,0.6,1.5,4.9,19.7,,109,112,2010-11,CartierMartin2010-11
1046,JaVale McGee,C,23,WAS,79,75,2193,7.7,14.1,.550,0.0,0.1,.000,7.7,14.0,.552,3.1,5.4,.583,5.2,9.6,14.8,0.9,1.0,4.5,2.4,5.4,18.6,,111,106,2010-11,JaValeMcGee2010-11
1047,Hamady N'Diaye,C,24,WAS,16,0,80,2.6,3.2,.800,0.0,0.0,,2.6,3.2,.800,3.8,7.7,.500,1.3,3.2,4.5,0.0,1.3,3.2,1.9,11.5,9.0,,107,111,2010-11,HamadyN'Diaye2010-11
1048,Larry Owens,SF,28,WAS,5,0,112,5.5,11.9,.462,2.3,4.6,.500,3.2,7.3,.438,0.9,2.3,.400,0.5,4.6,5.0,3.2,3.2,2.3,2.3,6.4,14.2,,102,107,2010-11,LarryOwens2010-11
1049,Kevin Séraphin,PF,21,WAS,58,1,635,5.3,11.8,.449,0.0,0.0,,5.3,11.8,.449,1.8,2.5,.710,6.4,5.8,12.2,0.8,1.4,2.3,3.4,10.2,12.4,,95,110,2010-11,KevinSéraphin2010-11
1050,Mustafa Shakur,PG,26,WAS,22,0,159,6.8,19.0,.356,0.3,3.2,.100,6.4,15.8,.408,2.6,4.8,.533,2.3,4.8,7.1,8.0,1.6,1.0,5.8,4.8,16.4,,79,112,2010-11,MustafaShakur2010-11
1051,Al Thornton,SF,27,WAS,49,23,1069,7.4,15.6,.471,0.2,1.2,.160,7.2,14.5,.497,3.9,5.1,.757,2.2,5.3,7.5,2.4,1.3,0.4,2.1,4.9,18.8,,107,112,2010-11,AlThornton2010-11
1052,John Wall,PG,20,WAS,69,64,2606,7.8,19.1,.409,0.7,2.3,.296,7.1,16.8,.425,5.9,7.7,.766,0.7,5.5,6.2,11.3,2.4,0.7,5.1,3.4,22.2,,100,110,2010-11,JohnWall2010-11
1053,Nick Young,SG,25,WAS,64,40,2034,10.4,23.5,.441,2.6,6.8,.387,7.7,16.7,.462,4.7,5.7,.816,0.7,3.7,4.4,1.9,1.1,0.4,2.3,3.6,28.0,,107,114,2010-11,NickYoung2010-11
1054,Jason Collins,C,33,ATL,30,10,308,2.8,6.9,.400,0.0,0.0,,2.8,6.9,.400,1.2,2.6,.467,2.1,6.2,8.3,1.7,0.7,0.5,1.7,5.9,6.7,,87,104,2011-12,JasonCollins2011-12
1055,Erick Dampier,C,36,ATL,15,0,83,0.6,5.1,.125,0.0,0.0,,0.6,5.1,.125,0.0,0.0,,6.4,9.6,16.0,2.6,0.6,2.6,1.9,5.8,1.3,,80,100,2011-12,ErickDampier2011-12
1056,Willie Green,SG,30,ATL,53,2,922,8.8,18.8,.471,2.9,6.5,.442,5.9,12.2,.486,2.8,3.2,.857,0.9,3.8,4.6,2.3,1.3,0.3,1.9,4.3,23.3,,110,105,2011-12,WillieGreen2011-12
1057,Kirk Hinrich,SG,31,ATL,48,31,1237,5.2,12.7,.414,2.0,5.8,.346,3.2,6.8,.472,1.1,1.4,.781,0.5,3.9,4.3,5.7,1.6,0.5,2.5,4.3,13.6,,100,104,2011-12,KirkHinrich2011-12
1058,Al Horford,C,25,ATL,11,11,348,8.7,15.7,.553,0.0,0.2,.000,8.7,15.6,.559,3.4,4.6,.733,4.0,7.8,11.8,3.7,1.5,2.1,2.4,3.2,20.8,,116,100,2011-12,AlHorford2011-12
1059,Ivan Johnson,PF,27,ATL,56,0,934,8.0,15.7,.513,0.1,0.3,.333,7.9,15.3,.517,4.1,5.7,.720,3.7,9.2,12.9,1.8,2.4,1.0,3.9,6.6,20.3,,101,98,2011-12,IvanJohnson2011-12
1060,Joe Johnson,SG,30,ATL,60,60,2127,10.6,23.3,.454,3.1,8.1,.388,7.5,15.2,.489,4.0,4.7,.849,1.3,4.2,5.5,5.8,1.2,0.3,2.9,1.9,28.2,,110,105,2011-12,JoeJohnson2011-12
1061,Tracy McGrady,SF,32,ATL,52,0,837,6.4,14.7,.437,1.0,2.1,.455,5.5,12.6,.434,3.6,5.3,.675,1.5,8.3,9.8,7.0,1.0,1.0,3.4,2.2,17.4,,102,102,2011-12,TracyMcGrady2011-12
1062,Zaza Pachulia,C,27,ATL,58,44,1640,5.5,11.0,.499,0.0,0.0,,5.5,11.0,.499,3.8,5.1,.741,5.0,9.8,14.8,2.6,1.8,0.9,2.6,5.6,14.8,,111,99,2011-12,ZazaPachulia2011-12
1063,Jannero Pargo,PG,32,ATL,50,0,671,8.3,20.1,.415,4.2,10.9,.384,4.1,9.1,.452,1.5,1.6,.950,0.7,5.1,5.8,7.6,1.6,0.2,3.9,5.1,22.4,,103,104,2011-12,JanneroPargo2011-12
1064,Vladimir Radmanović,SF,31,ATL,49,3,755,5.2,13.9,.376,3.5,9.5,.370,1.7,4.4,.387,1.6,2.0,.759,2.4,7.7,10.1,3.8,1.5,1.1,2.5,4.4,15.5,,104,101,2011-12,VladimirRadmanović2011-12
1065,Donald Sloan,PG,24,ATL,5,0,20,8.0,21.3,.375,0.0,2.7,.000,8.0,18.6,.429,0.0,0.0,,2.7,10.6,13.3,13.3,2.7,0.0,5.3,8.0,16.0,,86,98,2011-12,DonaldSloan2011-12
1066,Josh Smith,PF,26,ATL,66,66,2329,11.5,25.2,.458,0.6,2.5,.257,10.9,22.7,.480,4.6,7.4,.630,3.1,11.3,14.4,5.9,2.1,2.6,3.7,3.9,28.3,,101,96,2011-12,JoshSmith2011-12
1067,Jerry Stackhouse,SF,37,ATL,30,0,273,7.2,19.5,.370,2.5,7.4,.342,4.7,12.1,.387,4.1,4.5,.913,1.2,3.3,4.5,2.7,1.9,0.6,2.5,2.3,21.0,,97,104,2011-12,JerryStackhouse2011-12
1068,Jeff Teague,PG,23,ATL,66,66,2183,7.8,16.4,.476,1.2,3.6,.342,6.6,12.7,.514,3.4,4.5,.757,0.5,3.4,3.9,7.8,2.6,0.9,3.3,3.5,20.3,,108,102,2011-12,JeffTeague2011-12
1069,Marvin Williams,SF,25,ATL,57,37,1500,7.2,16.7,.432,2.1,5.3,.389,5.1,11.4,.452,4.1,5.2,.788,2.7,7.7,10.4,2.5,1.7,0.6,1.4,3.0,20.5,,113,101,2011-12,MarvinWilliams2011-12
1070,Keith Bogans,SF,31,NJN,5,1,94,4.5,11.9,.381,1.7,6.8,.250,2.8,5.1,.556,1.1,2.8,.400,2.8,3.4,6.2,1.7,1.1,0.0,1.7,8.5,11.9,,95,113,2011-12,KeithBogans2011-12
1071,MarShon Brooks,SG,23,NJN,56,47,1648,8.9,20.7,.428,1.5,4.8,.313,7.3,15.8,.463,3.7,4.8,.764,2.3,4.2,6.5,4.2,1.7,0.5,3.8,3.7,22.9,,98,111,2011-12,MarShonBrooks2011-12
1072,Andre Emmett,SF,29,NJN,6,0,45,4.7,8.3,.571,0.0,1.2,.000,4.7,7.1,.667,5.9,9.5,.625,2.4,4.7,7.1,1.2,2.4,1.2,2.4,2.4,15.4,,113,109,2011-12,AndreEmmett2011-12
1073,Jordan Farmar,PG,25,NJN,39,5,831,9.4,20.2,.467,3.5,8.0,.440,5.9,12.2,.484,3.7,4.0,.905,0.4,3.5,3.9,8.3,1.5,0.1,4.4,3.1,26.0,,111,113,2011-12,JordanFarmar2011-12
1074,Sundiata Gaines,SG,25,NJN,57,12,793,6.8,18.2,.376,1.9,5.5,.341,5.0,12.7,.392,4.0,6.4,.615,1.8,5.4,7.3,8.5,3.7,0.1,3.5,3.9,19.5,,100,107,2011-12,SundiataGaines2011-12
1075,Gerald Green,SF,26,NJN,31,2,781,10.5,21.8,.481,2.9,7.5,.391,7.6,14.3,.529,3.3,4.4,.754,1.0,6.3,7.4,2.3,1.9,1.2,3.8,5.5,27.3,,103,109,2011-12,GeraldGreen2011-12
1076,Dennis Horner,PF,23,NJN,8,0,22,2.4,9.7,.250,0.0,2.4,.000,2.4,7.3,.333,7.3,9.7,.750,4.8,7.3,12.1,0.0,0.0,0.0,2.4,2.4,12.1,,94,114,2011-12,DennisHorner2011-12
1077,Kris Humphries,PF,26,NJN,62,62,2162,8.0,16.5,.481,0.0,0.0,,8.0,16.5,.481,5.1,6.8,.752,5.7,11.0,16.8,2.2,1.2,1.8,2.9,4.3,21.1,,110,106,2011-12,KrisHumphries2011-12
1078,Damion James,SF,24,NJN,7,7,170,4.1,11.0,.371,0.0,0.3,.000,4.1,10.7,.382,2.5,3.8,.667,2.2,8.1,10.3,0.9,2.2,2.2,3.8,5.3,10.7,,76,106,2011-12,DamionJames2011-12
1079,Armon Johnson,PG,22,NJN,8,0,119,8.5,18.8,.452,0.4,1.3,.333,8.1,17.5,.462,2.7,2.7,1.000,0.4,4.9,5.4,4.9,1.8,0.0,2.2,4.0,20.1,,104,111,2011-12,ArmonJohnson2011-12
1080,Brook Lopez,C,23,NJN,5,5,136,14.9,30.1,.494,0.0,0.0,,14.9,30.1,.494,7.8,12.5,.625,3.1,3.9,7.0,2.3,0.4,1.6,2.3,3.1,37.6,,107,113,2011-12,BrookLopez2011-12
1081,Anthony Morrow,SG,26,NJN,62,18,1636,8.9,21.4,.413,3.5,9.3,.371,5.4,12.1,.446,3.2,3.4,.933,1.0,3.1,4.1,2.0,1.5,0.3,2.3,2.8,24.3,,105,113,2011-12,AnthonyMorrow2011-12
1082,Mehmet Okur,C,32,NJN,17,14,454,6.1,16.3,.374,2.7,8.4,.319,3.4,7.9,.433,0.4,0.6,.600,2.6,6.9,9.5,3.5,1.1,0.6,2.9,5.3,15.2,,93,111,2011-12,MehmetOkur2011-12
1083,Larry Owens,SF,29,NJN,7,0,75,2.8,7.8,.364,1.4,3.6,.400,1.4,4.3,.333,2.1,2.8,.750,1.4,7.8,9.2,2.8,0.0,0.7,1.4,7.1,9.2,,107,112,2011-12,LarryOwens2011-12
1084,Johan Petro,C,26,NJN,59,10,920,6.3,15.0,.419,0.1,0.1,1.000,6.3,15.0,.417,1.8,2.1,.838,3.9,9.0,13.0,2.6,1.2,1.3,2.2,7.1,14.5,,97,108,2011-12,JohanPetro2011-12
1085,Jerry Smith,PG,24,NJN,5,0,46,3.5,16.2,.214,1.2,6.9,.167,2.3,9.3,.250,0.0,0.0,,2.3,5.8,8.1,4.6,5.8,0.0,0.0,5.8,8.1,,78,102,2011-12,JerrySmith2011-12
1086,DeShawn Stevenson,SF,30,NJN,51,30,960,2.7,9.5,.285,2.3,8.0,.283,0.4,1.5,.296,0.5,0.9,.563,0.4,5.2,5.6,2.3,1.1,0.2,1.1,3.3,8.2,,90,112,2011-12,DeShawnStevenson2011-12
1087,Gerald Wallace,SF,29,NJN,16,16,573,7.8,18.8,.416,1.9,4.8,.385,5.9,13.9,.427,5.1,5.9,.859,2.2,7.9,10.1,4.6,2.1,1.0,2.5,3.5,22.6,,110,107,2011-12,GeraldWallace2011-12
1088,Deron Williams,PG,27,NJN,55,55,1999,10.4,25.6,.407,3.1,9.1,.336,7.4,16.5,.446,6.8,8.1,.843,0.6,4.3,4.9,12.8,1.8,0.5,5.8,3.2,30.7,,106,111,2011-12,DeronWilliams2011-12
1089,Jordan Williams,C,21,NJN,43,5,635,6.5,12.7,.507,0.0,0.0,,6.5,12.7,.507,3.6,5.5,.652,5.5,7.5,13.1,0.9,1.8,1.3,1.9,5.1,16.5,,112,108,2011-12,JordanWilliams2011-12
1090,Shawne Williams,SF,25,NJN,25,6,514,4.4,15.2,.286,2.2,9.0,.241,2.2,6.2,.350,0.8,1.1,.727,2.1,5.0,7.0,1.7,1.0,1.1,1.3,4.6,11.7,,84,112,2011-12,ShawneWilliams2011-12
1091,Shelden Williams,C,28,NJN,58,35,1276,4.0,8.4,.478,0.0,0.0,,4.0,8.4,.478,3.2,4.3,.731,5.9,8.7,14.6,1.5,2.0,1.6,2.8,6.2,11.2,,107,106,2011-12,SheldenWilliams2011-12
1092,Ray Allen,SG,36,BOS,46,42,1565,7.7,16.7,.458,3.6,7.9,.453,4.1,8.8,.463,3.3,3.6,.915,0.5,4.3,4.8,3.7,1.7,0.3,2.3,2.8,22.2,,111,101,2011-12,RayAllen2011-12
1093,Brandon Bass,PF,26,BOS,59,39,1868,8.6,18.0,.479,0.0,0.0,,8.6,18.0,.479,3.8,4.6,.810,2.7,7.7,10.4,1.6,1.0,1.5,1.8,3.8,21.0,,103,99,2011-12,BrandonBass2011-12
1094,Avery Bradley,PG,21,BOS,64,28,1368,7.8,15.6,.498,0.9,2.1,.407,6.9,13.5,.511,2.4,3.0,.795,1.3,3.1,4.5,3.4,1.7,0.5,2.9,4.2,18.8,,100,102,2011-12,AveryBradley2011-12
1095,Marquis Daniels,SG,31,BOS,38,0,484,5.7,15.7,.364,0.0,1.1,.000,5.7,14.6,.391,1.9,2.5,.739,1.8,5.5,7.2,5.2,2.3,1.0,3.1,4.0,13.3,,82,98,2011-12,MarquisDaniels2011-12
1096,Keyon Dooling,SG,31,BOS,46,2,662,5.3,13.1,.405,2.2,6.5,.333,3.1,6.6,.476,1.8,2.5,.742,0.2,2.9,3.1,4.1,1.0,0.2,2.7,4.6,14.6,,93,104,2011-12,KeyonDooling2011-12
1097,Kevin Garnett,C,35,BOS,60,60,1864,11.1,22.1,.503,0.1,0.3,.333,11.1,21.9,.505,4.6,5.4,.857,1.9,12.2,14.1,5.0,1.6,1.7,3.0,4.0,27.0,,106,94,2011-12,KevinGarnett2011-12
1098,Ryan Hollins,C,27,BOS,15,1,160,6.0,9.3,.643,0.0,0.0,,6.0,9.3,.643,2.0,6.6,.300,3.0,5.6,8.6,1.0,0.3,1.7,3.7,7.6,13.9,,91,102,2011-12,RyanHollins2011-12
1099,JaJuan Johnson,PF,22,BOS,36,0,298,9.6,21.6,.446,0.0,0.0,,9.6,21.6,.446,1.1,1.6,.667,3.6,6.8,10.3,1.1,0.9,2.5,2.5,4.5,20.3,,88,99,2011-12,JaJuanJohnson2011-12
1100,E'Twaun Moore,PG,22,BOS,38,0,331,6.9,18.1,.381,2.7,7.2,.378,4.2,10.9,.382,1.1,1.1,1.000,0.6,4.7,5.3,5.5,1.8,0.5,3.4,5.3,17.7,,89,101,2011-12,E'TwaunMoore2011-12
1101,Jermaine O'Neal,C,33,BOS,25,24,570,4.8,11.2,.433,0.0,0.0,,4.8,11.2,.433,2.0,2.9,.677,3.4,9.1,12.6,0.9,0.7,4.0,2.0,7.5,11.6,,94,96,2011-12,JermaineO'Neal2011-12
1102,Sasha Pavlović,SF,28,BOS,45,7,527,5.0,12.9,.391,1.7,5.8,.293,3.3,7.1,.471,0.3,0.8,.375,0.4,6.9,7.3,1.8,2.0,1.5,2.0,5.4,12.1,,82,97,2011-12,SashaPavlović2011-12
1103,Paul Pierce,SF,34,BOS,61,61,2075,10.1,22.8,.443,2.6,7.0,.366,7.5,15.8,.476,7.5,8.8,.852,0.9,7.2,8.1,7.0,1.8,0.7,4.4,3.8,30.2,,106,99,2011-12,PaulPierce2011-12
1104,Mickaël Piétrus,SG,29,BOS,42,6,921,6.0,15.6,.385,3.5,10.5,.335,2.5,5.1,.489,1.2,1.8,.645,1.0,6.5,7.5,1.4,1.2,0.6,1.9,4.7,16.7,,94,100,2011-12,MickaëlPiétrus2011-12
1105,Rajon Rondo,PG,25,BOS,53,53,1957,6.9,15.5,.448,0.3,1.1,.238,6.7,14.4,.464,2.9,4.9,.597,1.7,5.3,7.0,16.8,2.6,0.1,5.2,2.7,17.1,,101,99,2011-12,RajonRondo2011-12
1106,Greg Stiemsma,C,26,BOS,55,3,766,4.6,8.4,.545,0.0,0.0,,4.6,8.4,.545,2.0,2.8,.707,3.3,8.9,12.3,1.9,2.6,5.9,2.3,10.0,11.2,,107,90,2011-12,GregStiemsma2011-12
