,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON,index
230,Pau Gasol,C,29,LAL,65,65,2403,9.7,18.2,.536,0.0,0.1,.000,9.7,18.1,.539,6.2,7.8,.790,5.2,10.6,15.8,4.7,0.8,2.4,3.1,3.3,25.6,,120,102,2009-10,PauGasol2009-10
231,Adam Morrison,C,29,LAL,49,2,355,7.0,15.0,.466,0.0,0.0,,7.0,15.0,.466,1.3,2.8,.474,4.7,8.0,12.7,1.2,0.7,4.2,2.2,7.9,15.3,,99,101,2009-10,AdamMorrison2009-10
232,Adam Morrison,SF,25,LAL,31,0,241,6.9,18.2,.376,1.1,4.5,.238,5.8,13.7,.422,1.1,1.7,.625,2.1,4.7,6.9,3.9,0.6,0.4,2.1,3.6,15.9,,92,108,2009-10,AdamMorrison2009-10
233,Lamar Odom,PF,30,LAL,82,38,2585,6.8,14.8,.463,1.2,3.6,.319,5.7,11.1,.510,2.8,4.0,.693,3.7,12.4,16.0,5.3,1.5,1.2,3.0,4.5,17.6,,109,100,2009-10,LamarOdom2009-10
234,Josh Powell,PF,27,LAL,63,0,581,6.3,17.3,.366,0.6,1.4,.438,5.7,15.8,.360,1.8,2.8,.645,3.9,6.4,10.3,3.1,0.8,0.5,2.9,6.3,15.0,,89,106,2009-10,JoshPowell2009-10
235,Sasha Vujačić,SG,25,LAL,67,1,575,5.9,14.8,.402,2.2,7.3,.309,3.7,7.5,.494,2.5,3.0,.848,2.2,4.9,7.1,3.7,1.8,0.4,1.5,6.0,16.6,,112,105,2009-10,SashaVujačić2009-10
236,Luke Walton,SF,29,LAL,29,0,272,5.7,16.0,.357,1.3,3.2,.412,4.4,12.7,.343,0.4,0.8,.500,2.3,4.9,7.2,7.6,1.9,0.2,2.3,3.6,13.1,,96,105,2009-10,LukeWalton2009-10
237,Metta World Peace,SF,30,LAL,77,77,2605,6.1,14.7,.414,2.1,5.9,.355,4.0,8.8,.453,2.5,3.7,.688,2.0,4.6,6.6,4.6,2.1,0.4,2.4,3.3,16.8,,106,105,2009-10,MettaWorldPeace2009-10
238,Darrell Arthur,PF,21,MEM,32,1,457,7.1,16.4,.432,0.0,0.1,.000,7.1,16.3,.434,1.9,3.4,.567,4.2,8.2,12.3,1.7,1.6,1.6,2.5,6.7,16.1,,96,108,2009-10,DarrellArthur2009-10
239,Ronnie Brewer,SG,24,MEM,5,0,80,1.9,8.3,.231,0.0,0.0,,1.9,8.3,.231,2.6,3.2,.800,0.6,3.8,4.5,1.9,3.8,0.0,1.3,0.0,6.4,,78,108,2009-10,RonnieBrewer2009-10
240,DeMarre Carroll,SF,23,MEM,71,1,795,5.7,14.3,.396,0.0,0.4,.000,5.7,13.9,.407,2.1,3.4,.623,3.4,6.3,9.7,2.1,1.8,0.6,1.5,6.9,13.5,,98,110,2009-10,DeMarreCarroll2009-10
241,Mike Conley,PG,22,MEM,80,80,2569,7.4,16.6,.445,1.6,4.2,.387,5.7,12.3,.464,2.8,3.7,.743,0.6,3.2,3.8,8.5,2.2,0.2,3.4,3.6,19.2,,108,112,2009-10,MikeConley2009-10
242,Marc Gasol,C,25,MEM,69,69,2469,7.9,13.5,.581,0.0,0.0,.000,7.9,13.5,.582,5.2,7.8,.670,4.3,9.0,13.3,3.4,1.4,2.3,2.8,5.3,20.9,,121,108,2009-10,MarcGasol2009-10
243,Rudy Gay,SF,23,MEM,80,80,3175,9.7,20.8,.466,1.1,3.3,.327,8.6,17.5,.492,4.9,6.5,.753,1.9,5.8,7.6,2.5,1.9,1.0,2.7,3.2,25.3,,109,110,2009-10,RudyGay2009-10
244,Trey Gilder,SF,25,MEM,2,0,5,10.3,10.3,1.000,0.0,0.0,,10.3,10.3,1.000,0.0,0.0,,0.0,10.3,10.3,0.0,10.3,0.0,0.0,0.0,20.5,,200,91,2009-10,TreyGilder2009-10
245,Hamed Haddadi,C,24,MEM,36,0,240,5.1,13.3,.387,0.0,0.6,.000,5.1,12.6,.407,3.0,4.1,.737,5.6,10.5,16.0,2.1,0.2,3.0,4.3,12.2,13.3,,89,108,2009-10,HamedHaddadi2009-10
246,Lester Hudson,PG,25,MEM,9,0,61,11.8,29.4,.400,1.7,9.3,.182,10.1,20.2,.500,5.0,5.9,.857,3.4,5.0,8.4,4.2,4.2,0.8,4.2,4.2,30.3,,99,106,2009-10,LesterHudson2009-10
247,Steven Hunter,C,28,MEM,21,0,158,5.5,14.0,.395,0.0,0.0,,5.5,14.0,.395,6.2,11.7,.528,5.8,7.8,13.6,0.0,0.3,3.2,2.9,3.2,17.2,,95,110,2009-10,StevenHunter2009-10
248,Allen Iverson,PG,34,MEM,3,0,67,11.5,19.9,.577,0.8,0.8,1.000,10.7,19.1,.560,4.6,9.2,.500,0.8,2.3,3.1,8.4,0.8,0.0,5.4,3.8,28.3,,108,116,2009-10,AllenIverson2009-10
249,O.J. Mayo,SG,22,MEM,82,82,3113,8.9,19.5,.458,2.2,5.9,.383,6.7,13.6,.490,3.5,4.3,.809,1.0,4.1,5.1,4.0,1.6,0.3,2.9,2.9,23.6,,110,112,2009-10,O.J.Mayo2009-10
250,Zach Randolph,PF,28,MEM,81,81,3051,11.0,22.5,.488,0.3,0.9,.288,10.7,21.6,.496,6.1,7.8,.778,5.5,10.4,16.0,2.5,1.3,0.6,2.9,3.8,28.3,,115,109,2009-10,ZachRandolph2009-10
251,Hasheem Thabeet,C,22,MEM,68,13,883,4.5,7.6,.588,0.0,0.0,,4.5,7.6,.588,3.1,5.4,.581,4.9,9.2,14.1,0.6,0.9,5.2,2.5,9.4,12.1,,113,105,2009-10,HasheemThabeet2009-10
252,Jamaal Tinsley,PG,31,MEM,38,1,589,4.5,12.2,.371,0.6,3.4,.179,3.9,8.8,.446,1.9,2.4,.815,1.0,4.8,5.7,9.4,2.9,0.4,5.5,5.8,11.6,,86,109,2009-10,JamaalTinsley2009-10
253,Marcus Williams,PG,24,MEM,62,1,872,6.1,15.9,.384,1.4,4.8,.296,4.7,11.2,.421,2.2,3.2,.673,0.8,4.7,5.5,9.5,1.9,0.1,4.4,2.5,15.8,,95,112,2009-10,MarcusWilliams2009-10
254,Sam Young,SF,24,MEM,80,1,1321,8.7,19.3,.451,0.4,2.2,.196,8.3,17.1,.483,5.3,6.8,.777,3.0,4.8,7.8,2.0,1.3,0.8,3.7,4.1,23.1,,102,112,2009-10,SamYoung2009-10
255,Rafer Alston,PG,33,MIA,25,25,655,4.9,13.8,.355,2.5,6.6,.370,2.5,7.2,.341,1.2,2.2,.556,0.3,4.1,4.4,5.9,1.9,0.4,2.8,4.3,13.5,,93,106,2009-10,RaferAlston2009-10
256,Joel Anthony,C,27,MIA,80,16,1322,3.1,6.4,.478,0.0,0.0,,3.1,6.4,.478,2.7,3.7,.717,5.0,5.1,10.1,0.5,0.8,4.4,1.8,6.4,8.8,,112,103,2009-10,JoelAnthony2009-10
257,Carlos Arroyo,PG,30,MIA,72,35,1585,6.0,12.7,.475,0.2,0.8,.280,5.8,11.8,.489,2.6,3.0,.844,0.9,3.5,4.4,7.6,1.2,0.2,1.8,3.4,14.8,,115,108,2009-10,CarlosArroyo2009-10
258,Michael Beasley,PF,21,MIA,78,78,2328,10.8,23.9,.450,0.6,2.3,.275,10.1,21.6,.469,4.4,5.5,.800,2.8,8.6,11.5,2.3,1.8,1.1,3.0,5.1,26.6,,101,103,2009-10,MichaelBeasley2009-10
259,Mario Chalmers,PG,23,MIA,73,22,1807,5.4,13.5,.401,2.2,7.0,.318,3.2,6.5,.491,2.4,3.3,.745,0.7,3.3,4.0,7.3,2.7,0.4,3.6,5.2,15.4,,100,105,2009-10,MarioChalmers2009-10
260,Daequan Cook,SG,22,MIA,45,3,691,6.3,19.6,.320,3.1,9.8,.317,3.2,9.8,.323,1.6,1.9,.840,0.7,5.7,6.4,3.3,1.1,0.8,1.9,3.9,17.3,,90,107,2009-10,DaequanCook2009-10
261,Yakhouba Diawara,SG,27,MIA,6,2,44,2.4,12.2,.200,1.2,7.3,.167,1.2,4.9,.250,0.0,0.0,,1.2,3.7,4.9,3.7,1.2,0.0,3.7,9.7,6.1,,57,108,2009-10,YakhoubaDiawara2009-10
262,Udonis Haslem,PF,29,MIA,78,0,2177,7.7,15.5,.494,0.0,0.0,,7.7,15.5,.494,3.6,4.7,.762,4.1,11.4,15.5,1.3,0.7,0.6,1.8,4.3,19.0,,111,104,2009-10,UdonisHaslem2009-10
263,James Jones,SF,29,MIA,36,6,503,4.6,12.7,.361,3.9,9.6,.411,0.6,3.1,.207,2.4,3.0,.821,0.4,4.4,4.8,1.8,1.2,0.4,1.2,4.8,15.5,,113,108,2009-10,JamesJones2009-10
264,Jamaal Magloire,C,31,MIA,36,0,359,4.2,8.4,.500,0.0,0.0,,4.2,8.4,.500,3.1,8.8,.356,6.1,11.9,18.1,0.1,1.3,1.6,2.5,8.8,11.5,,96,101,2009-10,JamaalMagloire2009-10
