AGE,FG,FGA,3P,3PA,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_poss,FGA_poss,3P_poss,3PA_poss,2P_poss,2PA_poss,FT_poss,FTA_poss,ORB_poss,DRB_poss,TRB_poss,AST_poss,STL_poss,BLK_poss,TOV_poss,PF_poss,PTS_poss,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,BPM,VORP,next_3P%,3pt_dif,PLAYER,POS,TEAM,index,G,GS,MP,FG%,3P%,eFG%,ORtg_poss,DRtg_poss,TS%,DBPM,SEASON
3.1413806523913927,6.447305727266913,8.635655108498609,5.0132979349645845,6.868285455319991,5.217103446276167,6.839903786706787,0.7628883625853117,4.081655101917348,4.290840427026207,0.9513369909906105,2.7144176165949063,5.473703674798427,5.68773395970313,6.767899452107007,4.0615481004456795,1.4422495703074083,4.481404746557164,5.394690712109591,9.0041133460937,1.866255578408624,2.4986659549227817,1.4580997358267116,1.991631701289913,1.5036945962049748,1.9831924826807745,1.193483191927337,1.2385623296301709,0.7937005259840998,1.5874010519681994,1.6509636244473134,1.9574338205844317,1.1696070952851465,0.4641588833612779,1.300591446851387,1.5604907507078847,2.6061000753373493,2.3331065539234754,0.7952847627744923,0.49731898332685903,1.0322801154563672,2.0645602309127344,1.6984992522418105,2.7501377341482818,1.1696070952851465,0.4641588833612779,2.2701886806493845,2.525080871833849,1.4422495703074083,1.193483191927337,1.6868653306034984,0.4702669375441515,0.4641588833612779,,1.0,0.433825,0.044825,Mike Bibby,PG,ATL,MikeBibby2009-10,80,80,2195,0.416,0.389,0.514,113.0,110.0,0.538,-0.2,2010
3.072316825685847,7.91578321936081,10.338418124145411,5.462555571281397,7.530248212451817,6.931300768428809,8.785029643636324,0.7889094604023811,6.46330407009565,6.804092115953367,0.9498614756469136,3.239611801277483,5.506878446387352,5.857766002650652,6.197154434741126,3.936497183102173,2.2894284851066637,5.155136735475772,5.091643369659488,11.253085573385658,2.2035754532216254,2.8804873146578935,1.5182944859378311,2.0953791063432945,1.9309787692112594,2.4496598167132055,1.7967017791430526,1.8945364743718192,0.8879040017426006,1.5326188647871062,1.6386425412012917,1.7324782106818055,1.091392883061106,0.6694329500821695,1.4422495703074083,1.4260431471424087,3.137999185135957,2.6400122435918245,0.7281079419705337,0.6580844365241394,1.1696070952851465,2.0,1.6868653306034984,2.525080871833849,1.091392883061106,0.7368062997280773,2.147229169018941,2.9548803636849534,1.7758080034852013,1.193483191927337,1.939877414580333,0.5229321531755984,1.5182944859378311,1.338865900164339,1.3924766500838337,0.341,-0.0409999999999999,Jamal Crawford,SG,ATL,JamalCrawford2009-10,79,0,2460,0.449,0.382,0.523,114.0,110.0,0.573,-1.1,2010
3.1413806523913927,5.593444710406984,7.3248294446343145,3.8485011312768047,5.528774813678871,4.904868131524016,6.0731779437513245,0.8077374240743946,3.583047871015946,3.936497183102173,0.9101726516996136,3.8929964158732604,4.562902635386966,5.3601084109653625,3.634241185664279,3.239611801277483,2.571281590658235,2.7144176165949063,4.999999999999999,7.680085719529357,1.9219973427746713,2.514581453799839,1.3200061217959123,1.8945364743718192,1.6868653306034984,2.087759478663449,1.2385623296301709,1.3572088082974532,1.338865900164339,1.5604907507078847,1.8370905500142276,1.2385623296301709,1.1186889420813968,0.8879040017426006,0.9283177667225558,1.7213006207263157,2.6352209222742378,2.3020775179631467,0.7547842314287575,0.5371685354944833,1.7324782106818055,2.040827550958674,1.8945364743718192,1.7651741676630315,1.1186889420813968,1.0,1.6509636244473134,2.4879419347290765,1.2805791649874942,1.0322801154563672,1.4580997358267116,0.48488075858398794,,,0.7368062997280773,0.3260410958904109,-0.010958904109589,Maurice Evans,SF,ATL,MauriceEvans2009-10,79,5,1317,0.445,0.337,0.518,117.0,109.0,0.539,-0.6,2010
3.0365889718756622,8.595238034338408,11.149474795453498,5.05277434720856,7.047298732064891,7.9686271286962365,10.1185881265512,0.7872994366204347,6.036810736797685,6.455314810938885,0.9352285751899475,4.198336453808407,6.534335077087572,7.067376614721954,7.1725809000887955,4.344481485768611,1.7099759466766968,5.253587872492901,5.253587872492901,11.742185841132608,2.2701886806493845,2.9472251989123093,1.338865900164339,1.866255578408624,2.1029437174614203,2.6730748660601886,1.6005206638831553,1.7099759466766968,1.1186889420813968,1.7213006207263157,1.866255578408624,1.8945364743718192,1.1447142425533319,0.4641588833612779,1.3924766500838337,1.3924766500838337,3.1037761821824796,2.682372592629673,0.632470354341737,0.5788960372062404,1.4422495703074083,2.250617114677132,1.9219973427746713,2.802039330655387,1.1447142425533319,0.4641588833612779,2.0645602309127344,2.9738467389284104,1.8171205928321397,1.338865900164339,2.0327927136297066,0.5192494101851104,1.5036945962049748,1.3924766500838337,1.5036945962049748,0.297,-0.072,Joe Johnson,SG,ATL,JoeJohnson2009-10,76,76,2886,0.458,0.369,0.505,112.0,109.0,0.538,-0.7,2010
2.8438669798515654,6.709172852081068,8.724141342909673,3.4199518933533937,5.091643369659488,6.39882791035777,8.102839019043893,0.7894446772968116,5.604078661310774,5.990726414895092,0.9356095237352091,4.732623491163368,6.767899452107007,7.4650223136344955,4.530654896083492,4.04124002062219,3.583047871015946,4.160167646103808,5.428835233189813,9.359901623141155,1.866255578408624,2.4272360429169444,0.9654893846056297,1.4094597464129783,1.7863159877080566,2.2571787177370006,1.5604907507078847,1.6631034988407656,1.3200061217959123,1.885203631020986,2.080083823051904,1.2599210498948732,1.1186889420813968,1.0,1.1696070952851465,1.5182944859378311,2.6061000753373493,2.3513346877207573,0.5838272460814002,0.6868285455319991,1.7099759466766968,2.455202052384297,2.139974961130159,1.7758080034852013,1.1186889420813968,1.1186889420813968,2.0567101162059633,2.493315476119323,1.4580997358267116,1.375068867074141,1.7863159877080566,0.48202845283504603,,,1.0,0.336,0.033,Marvin Williams,SF,ATL,MarvinWilliams2009-10,81,81,2468,0.455,0.303,0.485,113.0,107.0,0.54,0.1,2010
3.072316825685847,5.05277434720856,6.868285455319991,3.8929964158732604,5.394690712109591,4.121285299808556,5.506878446387352,0.7482924114352578,3.6088260801386944,3.936497183102173,0.9165656454330223,2.0,3.583047871015946,3.7797631496846193,5.12992784003009,3.239611801277483,0.0,3.8929964158732604,4.344481485768611,7.140036981921556,1.912931182772389,2.5962470509255517,1.4736125994561546,2.040827550958674,1.5604907507078847,2.080083823051904,1.3572088082974532,1.4888055529538273,0.7368062997280773,1.3572088082974532,1.4260431471424087,1.939877414580333,1.21644039911468,0.0,1.4736125994561546,1.6386425412012917,2.70077709684987,2.2637023919259014,0.7856828007847997,0.5728654315982438,0.9654893846056297,1.7863159877080566,1.4736125994561546,2.8844991406148166,1.21644039911468,0.0,2.43288079822936,2.686997382119173,0.7368062997280773,0.6694329500821695,0.8879040017426006,0.327106631018859,,,,0.346,-0.03,Keyon Dooling,PG,NJN,KeyonDooling2009-10,53,8,971,0.398,0.376,0.489,102.0,113.0,0.519,-1.6,2010
2.9624960684073702,7.087341061500753,9.597337224450664,3.9148676411688634,6.009245006917366,6.664443703291906,8.737260372210358,0.7628883625853117,6.75331341669382,7.281079419705336,0.9275435230216413,2.8844991406148166,5.635740794544236,5.8771306592107395,7.506660749504312,4.290840427026207,2.6207413942088964,5.65665282582291,5.6252263283418555,10.25985568006018,2.0327927136297066,2.7545379620266495,1.1186889420813968,1.7213006207263157,1.912931182772389,2.5092987040930996,1.939877414580333,2.087759478663449,0.8434326653017492,1.6134286460245437,1.6868653306034984,2.154434690031884,1.2385623296301709,0.7368062997280773,1.6261333316791686,1.6134286460245437,2.9472251989123093,2.5302979959052476,0.6257324745675974,0.7588579337781816,1.0626585691826111,2.1326712355058866,1.7435134012651283,3.258557330219642,1.2385623296301709,0.8434326653017492,2.4496598167132055,2.943382658441668,1.1447142425533319,1.0626585691826111,1.3924766500838337,0.3848501131276805,0.8879040017426006,,0.8879040017426006,0.3136478873239436,0.0376478873239435,Devin Harris,PG,NJN,DevinHarris2009-10,64,61,2221,0.403,0.276,0.437,103.0,112.0,0.512,-1.5,2010
2.8844991406148166,6.965819767882616,9.185452750071137,4.235823584254893,6.082201995573399,6.39882791035777,8.193212706006458,0.780792532177971,5.104468722001463,5.348481241239363,0.9542743681516225,3.9148676411688634,5.768998281229633,6.316359597656378,4.9460874432487,4.530654896083492,2.7144176165949063,4.235823584254893,5.065797019100886,9.600954766151878,1.9574338205844317,2.5763134657051983,1.193483191927337,1.7099759466766968,1.7967017791430526,2.3020775179631467,1.4260431471424087,1.5036945962049748,1.091392883061106,1.6134286460245437,1.7758080034852013,1.3924766500838337,1.2805791649874942,0.7368062997280773,1.193483191927337,1.4260431471424087,2.69619949977585,2.339214190570293,0.6619105948026229,0.5818647867496961,1.4094597464129783,2.1326712355058866,1.8271601368635204,2.080083823051904,1.2805791649874942,0.8434326653017492,2.024693852005457,2.6061000753373493,1.21644039911468,1.091392883061106,1.4580997358267116,0.3979057207896392,,,0.7368062997280773,0.408,0.0699999999999999,Courtney Lee,SG,NJN,CourtneyLee2009-10,71,66,2375,0.436,0.338,0.485,106.0,111.0,0.525,-0.4,2010
3.239611801277483,7.741753281255592,9.90917762687677,5.253587872492901,7.361917820954216,6.832771452246442,8.310694107104096,0.822289851862149,6.135792439661959,6.32470354341737,0.9701158326971885,3.5568933044900626,5.9249921368147405,6.32470354341737,5.943921952763129,3.9999999999999996,2.924017738212866,5.05277434720856,5.667051108097064,10.925111142562795,2.0487996145182663,2.6255856591963793,1.3924766500838337,1.9486951603746576,1.8069688693211896,2.2035754532216254,1.6261333316791686,1.6750686836022342,0.9283177667225558,1.5740609166314434,1.6750686836022342,1.5740609166314434,1.0626585691826111,0.7937005259840998,1.338865900164339,1.5036945962049748,2.8924894837622244,2.4771246592603413,0.7428958841446566,0.6382504298859908,1.2599210498948732,2.0645602309127344,1.7651741676630315,2.3083502397536084,1.0626585691826111,0.8879040017426006,2.196689235027742,2.7234356815688767,1.7213006207263157,1.4260431471424087,1.991631701289913,0.5129927840030091,1.1447142425533319,1.0626585691826111,1.3200061217959123,0.444,0.081,Ray Allen,SG,BOS,RayAllen2009-10,80,80,2819,0.477,0.363,0.551,115.0,108.0,0.601,-0.3,2010
3.1748021039363987,7.422914120436214,9.535417195963118,4.776856181035017,6.4069585771855575,6.694329500821694,8.45302810372016,0.7921099395048361,7.1725809000887955,7.565354772225128,0.9480106107163948,3.3912114430141664,6.471273626960365,6.767899452107007,6.018461654806452,4.379519139887889,3.1413806523913927,5.4958646600950125,5.808785733563703,10.902723556992836,2.072351098059261,2.6590057904691733,1.338865900164339,1.7863159877080566,1.866255578408624,2.357348357613727,2.0,2.11045429449015,0.9283177667225558,1.8069688693211896,1.885203631020986,1.6750686836022342,1.21644039911468,0.8879040017426006,1.5326188647871062,1.6261333316791686,3.043801799381843,2.6304121142856256,0.6716569961547597,0.7931710391518467,1.2599210498948732,2.375207738061588,1.991631701289913,2.4716804116889617,1.21644039911468,1.0,2.386966383854674,2.8764642824468325,1.7099759466766968,1.4888055529538273,2.024693852005457,0.5484806552432618,1.3200061217959123,1.4422495703074083,1.4422495703074083,0.374,-0.0399999999999999,Paul Pierce,SF,BOS,PaulPierce2009-10,71,71,2411,0.472,0.414,0.535,114.0,105.0,0.613,0.7,2010
